center_frame,left_frame,right_frame,steer,throttle,brake
center_00027.jpg,left_00027.jpg,right_00027.jpg,0.0,1.0,0.0
center_00028.jpg,left_00028.jpg,right_00028.jpg,0.0,1.0,0.0
center_00029.jpg,left_00029.jpg,right_00029.jpg,0.0,1.0,0.0
center_00030.jpg,left_00030.jpg,right_00030.jpg,0.0,1.0,0.0
center_00031.jpg,left_00031.jpg,right_00031.jpg,0.0,1.0,0.0
center_00032.jpg,left_00032.jpg,right_00032.jpg,0.0,1.0,0.0
center_00033.jpg,left_00033.jpg,right_00033.jpg,0.0001,1.0,0.0
center_00034.jpg,left_00034.jpg,right_00034.jpg,-0.0011,1.0,0.0
center_00035.jpg,left_00035.jpg,right_00035.jpg,-0.0052,1.0,0.0
center_00036.jpg,left_00036.jpg,right_00036.jpg,0.0001,1.0,0.0
center_00037.jpg,left_00037.jpg,right_00037.jpg,-0.0001,1.0,0.0
center_00038.jpg,left_00038.jpg,right_00038.jpg,0.0,1.0,0.0
center_00039.jpg,left_00039.jpg,right_00039.jpg,0.0,1.0,0.0
center_00040.jpg,left_00040.jpg,right_00040.jpg,0.0,1.0,0.0
center_00041.jpg,left_00041.jpg,right_00041.jpg,0.0,1.0,0.0
center_00042.jpg,left_00042.jpg,right_00042.jpg,0.0,1.0,0.0
center_00043.jpg,left_00043.jpg,right_00043.jpg,0.0,1.0,0.0
center_00044.jpg,left_00044.jpg,right_00044.jpg,0.0,1.0,0.0
center_00045.jpg,left_00045.jpg,right_00045.jpg,0.0,1.0,0.0
center_00046.jpg,left_00046.jpg,right_00046.jpg,0.0,1.0,0.0
center_00047.jpg,left_00047.jpg,right_00047.jpg,0.0,1.0,0.0
center_00048.jpg,left_00048.jpg,right_00048.jpg,0.0,1.0,0.0
center_00049.jpg,left_00049.jpg,right_00049.jpg,0.0,1.0,0.0
center_00050.jpg,left_00050.jpg,right_00050.jpg,0.0,1.0,0.0
center_00051.jpg,left_00051.jpg,right_00051.jpg,0.0,1.0,0.0
center_00052.jpg,left_00052.jpg,right_00052.jpg,0.0,1.0,0.0
center_00053.jpg,left_00053.jpg,right_00053.jpg,0.0,1.0,0.0
center_00054.jpg,left_00054.jpg,right_00054.jpg,0.0,1.0,0.0
center_00055.jpg,left_00055.jpg,right_00055.jpg,0.0,1.0,0.0
center_00056.jpg,left_00056.jpg,right_00056.jpg,0.0,1.0,0.0
